ticker,year,sector,esg_tier,total_assets,total_debt,long_term_debt,current_debt,equity,cash,ppe,revenue,net_income,interest_exp,op_cashflow,market_cap,book_value,shares_out,lev,ltd_ratio,cur_ratio,cost_debt,roa,tangibility,mb,cash_ratio,ln_assets,esg_high,post,did
XOM,2022,integrated,high,369067000000.0,41193000000.0,40559000000.0,634000000.0,195049000000.0,29640000000.0,204692000000.0,398675000000.0,55740000000.0,798000000.0,76797000000.0,,195049000000.0,,0.11161388040653865,0.1098960351372515,0.0017178452692871483,1.9802594291832578,0.151029487870766,0.5546201638184937,1.8921758122317982,0.08031062110673672,26.63424403632049,1,1,1
XOM,2023,integrated,high,376317000000.0,41573000000.0,37483000000.0,4090000000.0,204802000000.0,31539000000.0,214940000000.0,334697000000.0,36010000000.0,849000000.0,55369000000.0,,204802000000.0,,0.11047335092488514,0.09960485441795082,0.010868496506934314,2.042190845019604,0.0956906012749889,0.5711673934475455,1.8374674075448483,0.08380966047242086,26.653697710246067,1,1,1
XOM,2024,integrated,high,453475000000.0,41710000000.0,36755000000.0,4955000000.0,263705000000.0,23029000000.0,294318000000.0,339247000000.0,33680000000.0,996000000.0,55022000000.0,,263705000000.0,,0.09197860962566845,0.08105187717073709,0.010926732454931363,2.3879165667705586,0.07427090798831247,0.6490280610838525,1.719629889459813,0.05078339489497767,26.750682009577144,1,1,1
CVX,2022,integrated,high,257709000000.0,23339000000.0,21375000000.0,1964000000.0,159282000000.0,17678000000.0,143591000000.0,235717000000.0,35465000000.0,516000000.0,49602000000.0,,159282000000.0,,0.0905633873865484,0.08294238850796828,0.007620998878580104,2.2108916406015684,0.13761645887415652,0.5571827138361485,1.6179417636644442,0.06859675059854332,26.275096878325506,1,1,1
CVX,2023,integrated,high,261632000000.0,20836000000.0,20307000000.0,529000000.0,160957000000.0,8178000000.0,153619000000.0,196913000000.0,21369000000.0,469000000.0,35609000000.0,,160957000000.0,,0.08488248563243168,0.07797595943572604,0.002021923923679061,2.25091188327894,0.08167578889432485,0.58715676981409,1.6254776120330274,0.03125764432485323,26.290204773207485,1,1,1
CVX,2024,integrated,high,256938000000.0,24541000000.0,20135000000.0,4406000000.0,152318000000.0,6781000000.0,147799000000.0,193414000000.0,17661000000.0,594000000.0,31492000000.0,,152318000000.0,,0.09551331449610412,0.07836520872739727,0.01714810576870685,2.4204392649036306,0.06873642668659365,0.5752321571741043,1.6868525059415171,0.026391580848298034,26.272100647601157,1,1,1
COP,2022,e&p,low,93829000000.0,16643000000.0,16226000000.0,417000000.0,48003000000.0,6458000000.0,64866000000.0,78494000000.0,18680000000.0,1055000000.0,28314000000.0,,48003000000.0,,0.1773758646047597,0.1729316096302849,0.004444254974474843,6.085592210706643,0.19908557055920878,0.6913214464611155,1.9546486677915964,0.06882733483251446,25.26473981361937,0,1,0
COP,2023,e&p,low,95924000000.0,18937000000.0,17863000000.0,1074000000.0,49279000000.0,5635000000.0,70044000000.0,56141000000.0,10957000000.0,1063000000.0,19965000000.0,,49279000000.0,,0.19741670489137234,0.18622034110337352,0.011196363787998832,5.613349527380261,0.11422584546098995,0.7302030774363037,1.9465492400413968,0.05874442266794545,25.286822048214038,0,1,0
COP,2024,e&p,low,122780000000.0,24324000000.0,23289000000.0,1035000000.0,64796000000.0,5607000000.0,94356000000.0,54745000000.0,9245000000.0,1108000000.0,20124000000.0,,64796000000.0,,0.19811044143997394,0.1896807297605473,0.008429711679426617,4.5551718467357345,0.07529727968724548,0.7684964978009448,1.8948700537070189,0.045667046750285066,25.533659972945763,0,1,0
EOG,2022,e&p,low,41371000000.0,5374000000.0,3795000000.0,1579000000.0,24779000000.0,5972000000.0,29429000000.0,29492000000.0,7759000000.0,179000000.0,11093000000.0,,24779000000.0,,0.12989775446568852,0.09173092262696092,0.03816683183872761,3.33085225158169,0.18754683232215805,0.7113436948587175,1.669599257435732,0.1443523240917551,24.445845989232982,0,1,0
EOG,2023,e&p,low,43857000000.0,4124000000.0,3765000000.0,359000000.0,28090000000.0,5278000000.0,32297000000.0,23182000000.0,7594000000.0,148000000.0,11340000000.0,,28090000000.0,,0.09403287958592699,0.08584718516998427,0.008185694415942723,3.5887487875848687,0.17315365848097225,0.7364160795312037,1.5835473262755513,0.12034566887840026,24.504200178144,0,1,0
EOG,2024,e&p,low,47186000000.0,5067000000.0,4220000000.0,847000000.0,29351000000.0,7092000000.0,34212000000.0,23378000000.0,6403000000.0,138000000.0,12143000000.0,,29351000000.0,,0.10738354596702411,0.0894333064892129,0.017950239477811214,2.723505032563647,0.1356970287797228,0.7250455643623108,1.6076453953868692,0.14744450063588577,24.577363075370933,0,1,0
DVN,2022,e&p,low,23721000000.0,6697000000.0,6446000000.0,251000000.0,11167000000.0,1454000000.0,18330000000.0,19169000000.0,6015000000.0,370000000.0,8530000000.0,,11167000000.0,,0.2823236794401585,0.27174233801273134,0.010581341427427175,5.524861878453039,0.22959840986734956,0.7727330213734666,2.124205247604549,0.06129589814931917,23.88962656870331,0,1,0
DVN,2023,e&p,low,24490000000.0,6450000000.0,5967000000.0,483000000.0,12061000000.0,875000000.0,19595000000.0,15258000000.0,3747000000.0,369000000.0,6544000000.0,,12061000000.0,,0.2633728052266231,0.24365046957942016,0.01972233564720294,5.72093023255814,0.15300122498979174,0.8001224989791752,2.030511566205124,0.03572886892609228,23.921530707910488,0,1,0
DVN,2024,e&p,low,30489000000.0,9203000000.0,8718000000.0,485000000.0,14496000000.0,846000000.0,25314000000.0,15940000000.0,2891000000.0,401000000.0,6600000000.0,,14496000000.0,,0.30184656761454953,0.2859391911837056,0.01590737643084391,4.3572748016951,0.09482108301354587,0.830266653547181,2.103269867549669,0.027747712289678244,24.14063179977015,0,1,0
